vehage,CC,Length,Weight,claimamt
4,1495,4250,1023,72000
2,1061,3495,875,72000
2,1405,3675,980,50400
7,1298,4090,930,39960
2,1495,4250,1023,106800
1,1086,3565,854,69592.8
4,796,3495,740,38400
4,1061,3520,830,43182.72
2,796,3335,665,40346.88
1,1405,3675,980,76800
0,1086,3565,854,77822.64
2,1061,3520,825,72000
3,2499,4435,1585,88560
3,1405,3675,980,48000
8,1405,3675,980,25920
2,796,3335,665,43358.88
2,1086,3565,854,67200
1,1405,3675,980,78000
2,1396,3675,980,57216
2,1405,3675,980,60561.6
4,2609,4325,1880,81240
2,1298,4095,875,93600
4,1086,3565,854,57600
0,1405,3675,980,80048.16
0,1086,3565,854,82489.68
4,1405,3675,980,40792.8
3,1405,3675,980,60240
0,1405,3675,980,91831.2
0,1086,3565,854,82814.4
0,995,3495,840,69268.56
6,1405,4150,1070,50400
3,1405,3675,980,57600
2,1061,3520,825,66000
2,796,3335,665,42240
1,796,3495,740,51840
2,1405,3675,980,63417.6
2,1405,4130,1105,96000.072
4,1061,3520,825,35508
1,1405,3675,980,96242.904
4,2499,4435,1585,108000
4,993,3495,875,36000
2,1405,3675,980,69599.88
3,1405,3675,980,68904
0,1405,3675,980,98067.588
1,1086,3565,854,82489.68
3,796,3495,740,39120
1,1405,3675,980,91583.04
2,1298,3695,980,88800.096
3,1405,3675,980,55440
3,1405,4130,1105,79712.784
1,796,3495,740,52320
4,1405,3675,980,44640
7,1527,3495,875,31687.2
0,1405,3675,980,83008.56
4,1600,4140,978,75600
1,1086,3565,854,82489.68
9,1405,3675,980,30229.2
3,1086,3565,854,48000
3,1405,3675,980,62400
6,1061,3520,825,32400
2,1086,3565,854,67200
3,1086,3565,854,49200
2,796,3495,740,55200
1,1086,3565,854,77822.64
2,1995,4325,1200,87313.92
4,1599,4250,1023,81000
0,796,3495,725,62559.324
8,999,3565,854,37752.48
1,995,3495,840,72881.52
3,1086,3565,854,66960
4,1495,4250,1023,79606.8
15,3498,4526,1472,67200
4,796,3335,665,32400
5,1495,4250,1023,60000
1,1086,3565,854,78254.16
3,1800,4505,1820,72000
0,1405,3675,980,90433.464
2,1086,3565,854,72000
6,993,3495,875,47632.8
2,1948,4650,2040,95999.904
5,1061,3520,825,48000
8,999,3565,854,24000
4,1753,4140,978,92685.6
1,1086,3565,854,69600
1,796,3495,740,59640
3,1495,4250,1023,92136.168
4,1299,4018,1140,66000
7,796,3370,750,25488
6,993,3495,875,33600
1,2498,4260,1615,108000
7,2446,4425,1470,71998.8
0,1086,3565,854,82489.68
0,1405,3675,980,91755.864
2,796,3370,750,42720
2,2523,4260,1615,98400
7,1061,3495,740,30960
1,1298,3695,1000,81600
2,1298,3695,980,75438.048
1,1405,3675,980,76320
2,796,3370,750,45600
2,1948,4505,1820,72000.096
0,1150,4310,1095,101086.56
6,999,3565,854,43200
1,1405,3675,980,72000
0,1405,3675,980,97857.468
2,1405,3675,980,78240
5,993,3495,875,39600
5,1493,4420,1100,84011.76
1,1405,3675,980,84016.704
4,993,3495,875,54000
3,796,3335,665,29999.952
3,796,3495,740,34440
2,796,3495,740,47988
0,1086,3565,854,83895.12
4,1061,3520,825,34800
1,1405,3675,980,82374.624
3,1497,4420,1100,102000
6,999,3565,854,30520.8
2,1405,3675,980,73513.44
3,1061,3520,825,54000
1,796,3335,665,44640
1,2523,4260,1615,94550.4
2,1086,3565,854,67524
3,1497,4420,1100,100800
3,1405,4150,1070,77760
3,1405,3675,980,35988
0,796,3495,725,61199.988
5,993,3495,875,36000
7,2446,4425,1470,60000
5,1405,3675,980,36000
0,1405,3675,980,90773.28
4,796,3495,740,37200
1,1086,3565,854,66715.92
5,1527,3495,875,40800
7,1061,3495,740,29959.2
3,1405,3675,980,50400
4,796,3370,750,33600
1,796,3495,740,58094.16
7,1343,4420,1100,64790.4
3,796,3495,740,40799.952
4,1800,4425,1470,72000
2,1086,3565,854,69599.88
6,999,3565,854,37200
6,1086,3565,854,39360
2,1086,3565,854,67073.832
1,1405,3675,980,79956.48
3,1086,3565,868,59898
0,995,3495,840,73831.872
3,993,3495,875,54650.64
1,1405,3675,980,83813.52
6,1061,3520,830,36000
1,1298,3695,1000,88800
8,1298,4090,930,27600
6,1061,3495,740,34800
3,1399,4282,1150,93216.096
1,1405,3675,980,71990.4
2,796,3495,740,46272
5,1497,4420,1155,79245.696
2,1061,3520,830,56736
4,1497,4420,1100,100200
6,2446,4425,1470,72000
0,1193,3675,980,74991.12
4,993,3495,875,49323.6
3,796,3495,740,37200
9,999,3565,854,26352
4,993,3495,875,50400
3,1086,3565,854,62640
3,1495,4250,1023,103509.84
6,1086,3565,854,42000
1,1405,3675,980,83506.08
4,1405,4150,1070,48000
1,1061,3520,825,81148.32
6,1298,4095,875,33480
8,1298,4095,875,31200
5,1298,4095,875,69120
1,1086,3565,854,81966
0,1405,3675,980,80401.92
5,1405,3675,980,40800
3,1405,3675,980,60000
0,1086,3565,854,77406
1,1086,3565,854,82489.68
4,2446,4425,1470,73920
1,1086,3565,854,60000
6,2446,4425,1470,96000
4,1242,3827,990,48000
6,993,3495,875,31190.4
4,1061,3520,825,45600
1,796,3370,750,43200
0,1086,3565,854,81966
4,1061,3520,825,43200
1,1405,3675,980,71990.4
1,1405,3675,980,72000
1,1343,4420,1100,60000
2,1298,3675,975,90000
0,1061,3520,825,86412
2,1086,3565,854,60000
8,993,3495,875,24000
3,1086,3565,854,62400
4,1405,3675,980,48000
0,995,3495,840,72635.652
1,1405,3675,980,76552.8
6,999,3565,854,48000
0,1086,3565,854,81641.52
0,2523,4210,1575,91200
0,995,3495,840,72965.472
7,1061,3520,825,26400
4,1405,3675,980,53244
3,1569,4282,1130,104280
3,993,3495,875,59992.704
3,1405,3675,980,54005.76
1,1086,3565,854,57832.68
1,1405,3675,980,73200
6,1405,3675,980,26400
6,1493,4420,1100,58320
4,1405,3675,980,43200
9,998,3565,854,26049.6
8,1495,4250,1023,32400
5,1061,3520,825,36000
4,1086,3565,854,51592.8
0,1405,3675,980,90912
6,1596,4018,1140,88452
9,993,3495,875,28080
2,1405,3675,980,64800
7,1405,3675,980,31190.4
1,1405,3675,980,83150.016
1,2523,4260,1615,108000
5,1242,3827,990,54673.92
0,1086,3565,854,83581.836
2,1405,3675,980,59530.8
8,1061,3520,825,24480
1,1086,3565,854,80251.2
1,1193,3675,980,68705.28
5,2609,4325,1880,90000
3,796,3495,740,48000
2,1086,3565,854,74640
2,1086,3565,854,67608
1,1193,3675,980,62208
1,1405,3675,980,72000
4,796,3495,740,34800
1,1405,3675,980,79979.76
2,1298,3695,1000,74832
3,1405,3675,980,56640
2,1948,4505,1820,96000.072
0,1405,3675,980,83972.64
3,1343,4420,1100,108000
2,1405,3675,980,62719.44
1,1405,3675,980,91200
1,796,3495,740,52800
3,1086,3565,868,55656
1,1405,3675,980,74748
3,796,3495,740,40320
1,796,3495,740,55200
4,1086,3565,854,46560
6,1468,4290,1010,75604.32
1,1086,3565,854,50868
2,1948,4505,1820,103200
9,1298,4095,875,30000
4,1948,4505,1820,91200
1,1086,3565,854,67668
6,1495,4250,1023,52800
3,1086,3565,854,58799.952
5,1800,4505,1820,54000
6,1086,3565,854,31200
5,796,3335,665,25200
2,1299,4140,978,81599.952
4,796,3335,665,30000
3,1299,4140,978,47999.952
9,999,3565,854,26400
1,1405,4130,1105,108000
2,1086,3565,854,64980.048
0,1086,3565,854,59759.94
7,999,3565,854,30720
7,1495,4250,1023,64788
7,998,3565,854,29748
6,796,3495,740,26400
9,999,3565,854,35724
0,1405,3675,980,79570.8
1,796,3495,725,45599.904
3,2500,4435,1585,72000
2,1405,4130,1105,100800
7,1405,3675,980,34008
5,993,3495,875,36000
9,1086,3565,854,35424
6,1086,3565,854,41148
1,1150,3880,1075,102015.744
0,796,3335,665,55392
4,796,3335,665,28800
5,1600,4505,1820,60000
2,796,3335,665,41445.12
8,999,3565,854,24000
5,1086,3565,854,43200
3,1298,4090,930,64800
0,1086,3565,868,79214.304
1,1086,3565,854,90060.096
4,1405,3675,980,55200
0,995,3495,840,76365.18
2,1405,3675,980,66946.08
6,1086,3565,854,46632
5,1343,4420,1100,50400
3,796,3495,740,48000
2,1405,3675,980,71952
3,1497,4420,1100,108000
6,1086,3565,854,31200
5,1061,3520,825,43200
5,796,3370,750,30480
1,1298,4095,875,97680
5,1086,3565,854,38400
2,1298,3695,1010,96000.072
7,2446,4425,1470,68400
6,796,3370,750,24000
6,993,3495,875,44400
2,1405,3675,980,69120
6,796,3370,750,26400
2,796,3495,740,51599.856
7,2446,4425,1470,64800
3,1405,3675,980,52800.048
7,1405,3675,980,36000
1,796,3495,740,48000
1,1086,3565,854,72000
6,1405,3675,980,31200
2,1500,3675,980,60000
6,1405,3675,980,48000
1,1086,3565,854,71999.928
4,1061,3520,825,40800
1,1086,3565,854,72000
2,1450,3675,980,54264
2,1399,4282,1150,96000.072
3,1298,4095,875,68400
3,1405,3675,980,63600.192
3,1800,4425,1470,90000
3,1061,3520,825,54000
6,1061,3520,830,47520
3,2609,4325,1880,69599.952
7,993,3495,875,40320
3,1948,4505,1820,64800
1,1061,3520,825,72000
1,796,3335,665,38400
4,1405,4150,1070,54994.08
5,1061,3520,825,41640
3,1497,4420,1100,75120
0,1461,4247,1140,96900
1,1405,3675,980,80376
6,796,3335,665,26400
3,1086,3565,854,73343.52
4,1086,3565,854,43200
6,993,3495,875,31200
2,2523,4210,1575,88799.928
1,1405,3675,980,57360
9,1948,4505,1820,36000
4,1086,3565,854,46800
8,2446,4425,1470,36000
1,1298,4095,875,103200
3,993,3495,875,48000
6,993,3495,875,24000
2,1086,3565,854,67680
3,1995,4325,1200,64800
5,1086,3565,854,48000
2,1405,3675,980,67200
7,1405,3675,980,36180
1,1405,3675,980,81098.64
3,2523,4260,1615,83999.952
4,796,3495,740,48000
10,1497,4420,1100,73062
2,1086,3565,854,62400
2,1086,3565,854,66435.36
1,1405,3675,980,83482.08
1,1405,3675,980,71992.8
7,1299,4140,978,37800
1,1298,4095,875,81442.32
5,796,3335,665,24000
6,1495,4250,1023,60000
1,1061,3520,825,77270.4
2,1086,3565,868,68611.2
4,796,3335,665,24000
5,1086,3565,854,37584
1,1150,3880,1075,91544.88
1,1405,3675,980,80484.48
1,1086,3565,854,82489.716
5,1595,4250,1023,75600
2,1405,4150,1070,84600.12
4,796,3335,665,31192.8
4,993,3495,875,46407.12
2,999,3565,854,67200
3,796,3335,665,29999.952
1,1061,3520,825,67200
4,1086,3565,868,45360
1,1086,3565,854,69585.6
6,796,3370,750,26364
6,999,3565,854,27216
2,1405,3675,980,65718
2,1405,3675,980,62399.904
7,2446,4425,1470,60000
6,1405,3675,980,28800
5,1405,3675,980,38400
3,1495,4250,1023,83952
7,999,3565,854,26400
7,993,3495,875,24000
8,1298,4095,875,30000.012
2,1405,3675,980,64800
1,1405,3675,980,64787.76
2,1061,3520,830,59999.856
4,1405,3675,980,60000
1,1086,3565,854,72000
7,1086,3565,854,36000
1,796,3495,740,58320
7,796,3495,740,24000
2,1061,3520,825,64799.952
6,1495,4250,1023,41136
6,796,3335,665,28080
1,1405,3675,980,81360
4,1298,4095,875,60000
1,1298,3695,980,86400
2,796,3370,750,44215.08
7,1405,3675,980,27600
1,1086,3565,854,71472.072
4,1405,4150,1070,58953.6
2,796,3335,665,42000
4,1299,4140,978,48000
6,1405,3675,980,28800
1,796,3495,740,50400
3,1061,3520,830,60000.048
7,1061,3520,825,36000
3,1405,3675,980,67200
9,999,3565,854,28080
2,1405,3675,980,84000
0,1086,3565,854,62400
6,1405,3675,980,29999.784
1,1086,3565,854,72269.28
8,999,3565,854,29743.2
4,993,3495,875,50841.12
5,1405,4150,1070,48000
1,2523,4260,1615,94217.28
0,1405,3675,980,68705.292
4,1405,3675,980,43200
2,1405,3675,980,65999.976
6,2446,4425,1470,84000
3,796,3370,750,39312
0,1405,3675,980,96267.3
5,993,3495,875,38400
1,1405,3675,980,84000
2,1405,3675,980,64799.952
1,796,3495,740,45314.4
1,1399,4310,1095,85200
4,1495,4250,1023,75600
1,796,3495,740,51360
5,796,3335,665,24840
4,1086,3565,854,48133.44
2,796,3335,665,35424
5,796,3370,750,27120
2,1061,3520,825,61358.64
3,1405,3675,980,54480
0,995,3495,840,82356.96
3,796,3495,740,33000
4,1086,3565,854,48600
4,1405,3675,980,46872
5,1086,3565,854,39657.6
1,1086,3565,854,72564
2,1405,3675,980,69120
5,1405,4150,1070,56160
7,1405,3675,980,32400
3,796,3495,740,43200
3,1497,4420,1100,102000
2,1405,3675,980,60000
5,1242,3827,990,36000
1,1405,3675,980,92093.76
6,1343,4420,1100,48000
0,1405,3675,980,82719.768
5,1061,3520,825,38400
4,1800,4505,1820,46080
1,796,3335,665,33600
9,999,3565,854,31200
1,1489,4325,1140,86639.76
0,995,3495,840,84104.64
3,1497,4420,1100,100800
4,2600,4325,1980,86400
2,1405,3675,980,62639.808
11,993,3495,875,29999.784
3,1086,3565,854,47999.952
1,1405,3675,980,96160.8
2,1405,3675,980,64799.952
0,796,3495,740,66843.9
0,1061,3520,830,92720.988
7,1800,4425,1470,55284
3,993,3495,875,50400
2,796,3335,665,33145.68
0,1086,3565,854,82814.4
6,1061,3520,825,36000
1,796,3495,740,66860.4
7,1405,3675,980,32400
2,1405,3675,980,55230.84
6,993,3495,875,44128.8
10,1497,4420,1100,45272.16
0,1405,3675,980,78624.72
5,993,3495,875,38400
1,1500,3675,980,72000
0,1086,3565,854,81966
1,1086,3565,854,70800
3,1086,3565,854,48000.096
7,1468,4290,1080,73824
2,796,3495,740,53999.904
3,1527,3495,875,59279.904
6,1298,4095,875,32400
11,993,3495,875,30240
1,796,3495,725,47040
1,1299,4140,978,86640
1,796,3495,740,55176
7,2446,4425,1470,48600
2,1061,3520,825,60144
7,2446,4425,1470,74640
2,2523,4260,1615,79200
5,796,3370,750,31680
5,1061,3520,825,44754
4,796,3335,665,24000
5,1405,3675,980,38400
3,1298,4095,875,67224
2,796,3370,750,40800
4,1086,3565,854,72000
0,796,3495,740,66662.736
1,1500,3675,980,69550.08
3,1405,3675,980,52272
5,2609,4325,1880,81000
0,1396,3675,980,92921.28
3,1405,3675,980,48600
5,1495,4250,1023,68460
1,796,3370,750,48000
1,1086,3565,854,76540.608
1,1405,3675,980,76800
3,1086,3565,854,54000
3,1086,3565,854,62576.64
4,1817,4325,1140,35952
2,796,3495,740,43200.024
0,1086,3565,854,83338.32
3,1405,3675,980,48603.84
5,1086,3565,854,39879.36
9,1948,4505,1820,46800
5,2446,4425,1470,70800
0,1400,3695,1000,103676.16
4,1497,4420,1100,108000
2,796,3335,665,42636
2,1086,3565,854,53705.52
1,796,3495,740,66660
1,1086,3565,854,72000
1,1150,3880,1075,101086.56
6,1493,4420,1100,61695.84
7,2446,4425,1470,72000
9,999,3565,854,24000
1,1086,3565,854,81966
4,1405,3675,980,40800
5,1984,4507,1350,108000
5,796,3370,750,31200
5,2446,4425,1470,72576
5,1298,4095,875,58320
2,1405,3675,980,70800
6,1405,3675,980,28800
4,2446,4425,1470,77760
6,998,3565,854,52904.4
2,796,3335,665,31200.12
9,993,3495,875,28800
7,999,3565,854,26400
4,1800,4425,1470,59234.64
5,1086,3565,854,33600
3,1948,4505,1820,84000
3,1405,3675,980,60000
0,1086,3565,854,62668.536
0,995,3495,840,90525.6
3,1086,3565,854,58656
2,796,3495,740,61872
0,1061,3520,830,87495
1,796,3335,665,46198.272
2,1405,3675,980,71317.92
6,1298,4095,875,32400
5,1086,3565,854,27288
0,1405,3675,980,80961.84
2,796,3370,750,45486
3,1405,3675,980,59616
2,796,3370,750,42652.56
4,1948,4505,1820,59760
4,1405,3675,980,52800
1,1298,4095,875,97546.8
4,1998,4290,1095,82320
5,1405,3675,980,37320
2,1489,4325,1140,49194
6,1997,4800,1498,96000
4,1405,3675,980,50400
0,1405,3675,980,83640
1,1061,3520,825,72000
6,1405,3675,980,30000
2,1500,3675,980,60725.04
0,1086,3565,854,83581.836
3,1061,3520,885,60480
4,1086,3565,854,43200
5,1299,4140,978,50400
2,796,3335,665,41760
0,1405,3675,980,82937.28
4,1910,3827,990,52800
0,1405,3675,980,82336.56
1,1086,3565,854,67200
6,796,3370,750,24480
4,2600,4325,1980,108000
3,796,3495,740,42000.192
1,796,3495,740,57600
1,1405,3675,980,82764
1,1405,3675,980,70056
0,1405,3675,980,83640
4,796,3370,750,26400
3,1405,3675,980,52800
5,2523,4260,1615,49200
9,999,3565,854,26400
3,1405,4150,1070,89200.32
2,1405,4150,1070,80400
4,1061,3520,830,45600
3,1299,4140,978,84000
2,1405,3675,980,61200
4,1405,3675,980,54000
2,796,3495,740,55200
2,796,3335,665,51600
5,1086,3565,854,48172.32
8,1061,3520,825,33840
0,1405,3675,980,91583.04
4,1061,3520,825,38400
3,1497,4420,1100,101040
1,1086,3565,854,81840
1,1405,3675,980,81101.52
1,1405,3675,980,78480
1,1405,3675,980,69360
7,1061,3520,825,30000
5,1086,3565,854,39960
7,796,3370,750,24420
2,796,3335,665,38400
4,796,3335,665,26400
0,796,3495,740,66456
8,993,3495,875,36000
4,796,3370,750,36000
4,1493,4420,1100,77760
2,1405,3675,980,71999.928
4,796,3335,665,24000
3,1497,4420,1100,96000
4,1061,3520,825,48000
2,1405,4150,1070,84000
4,796,3495,740,40800
2,1086,3565,854,74399.976
3,1086,3565,854,50400
6,1405,3675,980,28800
3,1086,3565,854,57600
1,796,3335,665,38400
2,796,3370,750,38388
4,1086,3565,854,48000
2,1405,3675,980,66000
5,796,3335,665,26400
5,999,3565,854,36000
7,1405,3675,980,26400
4,796,3370,750,28800
3,1753,4140,978,93600
0,1489,4325,1140,86184
4,1086,3565,854,36000
0,1405,3675,980,96444
2,1086,3565,868,66000
2,1948,4505,1820,108000
1,796,3370,750,44702.4
6,998,3565,854,37980
1,796,3335,665,52312.8
4,1086,3565,854,46560
3,993,3495,875,54000
0,1405,3675,980,91827.684
0,1405,3675,980,91827.684
6,1405,3675,980,33063.6
8,1405,3675,980,24000
2,1405,3675,980,64560
1,796,3495,740,56400
3,796,3495,740,48000
8,2956,4505,1820,36000
5,1086,3565,854,43200
1,1405,3675,980,90960
5,1086,3565,854,54000
7,2498,4260,1615,36000
4,993,3495,875,43200
11,1948,4505,1820,24000
3,2609,4325,1880,91199.952
6,1405,3675,980,25920
4,1405,4150,1070,62400
4,796,3335,665,26400
7,993,3495,875,33600
1,1086,3565,868,64800.108
3,796,3495,725,33576
8,993,3495,875,34200
0,1405,3675,980,92388.792
4,1086,3565,854,43200
4,1405,3675,980,60000
6,1242,3827,990,28800
2,796,3335,665,37055.928
3,1405,3675,980,59999.904
5,1086,3565,854,40800
2,796,3335,665,38879.904
0,1405,3675,980,88529.664
2,796,3495,740,57600
2,1086,3565,854,55579.2
6,1298,4095,875,42000
4,1405,3675,980,46896
1,1086,3565,854,69600
1,796,3370,750,44400.192
5,1405,3675,980,40800
5,1493,4420,1100,96000
1,1086,3565,854,76778.88
4,2609,4325,1880,96000
0,796,3370,750,52872
6,796,3335,665,29735.52
3,1405,4150,1070,95999.904
10,1948,4505,1820,24000
1,1086,3565,854,81041.52
7,1405,3675,980,32872.56
3,796,3370,750,33600
3,796,3495,725,36720
6,796,3335,665,26400
5,1086,3565,854,43200
2,796,3495,740,45024
8,993,3495,875,27600
4,796,3370,750,24000
0,796,3335,665,47964
1,796,3495,740,47991.6
3,1497,4420,1100,102523.68
1,1086,3565,854,79200
2,796,3495,725,41040
2,1405,3675,980,76800.024
7,1405,3675,980,43200
10,1493,4420,1100,52791.6
6,1086,3565,854,33600
6,1800,4505,1820,24000
4,796,3495,740,38976.144
0,1086,3565,854,82489.716
6,1298,4095,875,38400
6,1061,3495,740,35723.28
1,1405,3675,980,82764
8,1948,4505,1820,38400
1,1108,3827,990,86243.964
2,1948,4505,1820,84000
4,1405,3675,980,36000
3,1086,3565,854,58320
3,2523,4260,1615,66567.6
4,1405,3675,980,48000
2,1405,3675,980,66000.072
5,1086,3565,854,45600
1,796,3335,665,42245.04
4,1598,4540,1230,97200
4,796,3335,665,28800
5,1086,3565,854,52800
3,1061,3520,825,52038.72
2,1061,3520,825,60960
2,796,3370,750,51600
2,1405,3675,980,72000
1,1405,3675,980,80376
0,1405,3675,980,83088
7,993,3495,875,31200
10,993,3495,875,36000
4,1497,4420,1100,94863.12
5,993,3495,875,43200
4,1517,4090,930,39600
7,998,3565,854,31200
4,993,3495,875,48000
2,796,3495,740,48000.12
2,1061,3520,825,62399.904
5,1405,3675,980,36000
5,1495,4250,1023,66000
1,1405,3675,980,66000
5,1086,3565,854,48000
0,2523,4260,1615,105450
10,993,3495,875,25200
6,993,3495,875,31200
4,1405,4150,1070,60000
7,2446,4425,1470,72480
1,1086,3565,854,77520.072
0,1061,3520,825,81105.6
1,1405,3675,980,67200
1,1405,4150,1070,103464
2,1299,4140,978,88800
4,1061,3520,825,59280
1,1193,3675,980,57600.096
5,993,3495,875,38472
8,1405,3675,980,24336
4,1298,3675,975,43200
4,1948,4505,1820,64332.96
2,796,3495,725,55368
5,796,3370,750,29743.2
1,1086,3565,854,82814.4
1,1405,3675,980,74095.68
3,1061,3520,825,58560
3,1298,3695,980,72360
2,2499,4435,1585,108000
2,796,3495,740,49766.472
7,1597,4140,978,51156
3,796,3370,750,47520
0,1086,3565,854,82814.4
1,1086,3565,854,78254.16
1,1086,3565,854,81966
6,1086,3565,854,39960
3,1495,4250,1023,108000
3,1405,3675,980,62400
4,2609,4325,1880,78960
3,1405,4150,1070,64800
1,1086,3565,854,81966
1,1086,3565,854,80575.2
3,1061,3520,825,43200
1,1086,3565,854,82814.4
4,1599,4250,1023,86356.8
1,1086,3565,854,75962.64
