claimamt,vehage,CC,Length,Weight
72000.0,4,1495,4250,1023
72000.0,2,1061,3495,875
50400.0,2,1405,3675,980
39960.0,7,1298,4090,930
106800.0,2,1495,4250,1023
69592.8,1,1086,3565,854
38400.0,4,796,3495,740
43182.72,4,1061,3520,830
40346.88,2,796,3335,665
76800.0,1,1405,3675,980
77822.64,0,1086,3565,854
72000.0,2,1061,3520,825
88560.0,3,2499,4435,1585
48000.0,3,1405,3675,980
25920.0,8,1405,3675,980
43358.88,2,796,3335,665
67200.0,2,1086,3565,854
78000.0,1,1405,3675,980
57216.0,2,1396,3675,980
60561.6,2,1405,3675,980
81240.0,4,2609,4325,1880
93600.0,2,1298,4095,875
57600.0,4,1086,3565,854
80048.16,0,1405,3675,980
82489.68,0,1086,3565,854
40792.8,4,1405,3675,980
60240.0,3,1405,3675,980
91831.2,0,1405,3675,980
82814.4,0,1086,3565,854
69268.56,0,995,3495,840
50400.0,6,1405,4150,1070
57600.0,3,1405,3675,980
66000.0,2,1061,3520,825
42240.0,2,796,3335,665
51840.0,1,796,3495,740
63417.6,2,1405,3675,980
96000.07199999999,2,1405,4130,1105
35508.0,4,1061,3520,825
96242.90400000001,1,1405,3675,980
108000.0,4,2499,4435,1585
36000.0,4,993,3495,875
69599.88,2,1405,3675,980
68904.0,3,1405,3675,980
98067.588,0,1405,3675,980
82489.68,1,1086,3565,854
39120.0,3,796,3495,740
91583.04,1,1405,3675,980
88800.09599999999,2,1298,3695,980
55440.0,3,1405,3675,980
79712.784,3,1405,4130,1105
52320.0,1,796,3495,740
44640.0,4,1405,3675,980
31687.2,7,1527,3495,875
83008.56,0,1405,3675,980
75600.0,4,1600,4140,978
30229.2,9,1405,3675,980
48000.0,3,1086,3565,854
62400.0,3,1405,3675,980
32400.0,6,1061,3520,825
49200.0,3,1086,3565,854
55200.0,2,796,3495,740
77822.64,1,1086,3565,854
87313.92,2,1995,4325,1200
81000.0,4,1599,4250,1023
62559.324,0,796,3495,725
37752.48,8,999,3565,854
72881.52,1,995,3495,840
66960.0,3,1086,3565,854
79606.8,4,1495,4250,1023
67200.0,15,3498,4526,1472
32400.0,4,796,3335,665
60000.0,5,1495,4250,1023
78254.16,1,1086,3565,854
72000.0,3,1800,4505,1820
90433.464,0,1405,3675,980
72000.0,2,1086,3565,854
47632.8,6,993,3495,875
95999.90400000001,2,1948,4650,2040
48000.0,5,1061,3520,825
24000.0,8,999,3565,854
92685.6,4,1753,4140,978
69600.0,1,1086,3565,854
59640.0,1,796,3495,740
92136.168,3,1495,4250,1023
66000.0,4,1299,4018,1140
25488.0,7,796,3370,750
33600.0,6,993,3495,875
108000.0,1,2498,4260,1615
71998.8,7,2446,4425,1470
91755.864,0,1405,3675,980
42720.0,2,796,3370,750
98400.0,2,2523,4260,1615
30960.0,7,1061,3495,740
81600.0,1,1298,3695,1000
75438.048,2,1298,3695,980
76320.0,1,1405,3675,980
45600.0,2,796,3370,750
72000.09599999999,2,1948,4505,1820
101086.56,0,1150,4310,1095
43200.0,6,999,3565,854
72000.0,1,1405,3675,980
97857.46800000001,0,1405,3675,980
78240.0,2,1405,3675,980
39600.0,5,993,3495,875
84011.76,5,1493,4420,1100
84016.704,1,1405,3675,980
54000.0,4,993,3495,875
29999.952,3,796,3335,665
34440.0,3,796,3495,740
47988.0,2,796,3495,740
83895.12,0,1086,3565,854
34800.0,4,1061,3520,825
82374.62400000001,1,1405,3675,980
102000.0,3,1497,4420,1100
30520.8,6,999,3565,854
73513.44,2,1405,3675,980
54000.0,3,1061,3520,825
44640.0,1,796,3335,665
94550.4,1,2523,4260,1615
67524.0,2,1086,3565,854
100800.0,3,1497,4420,1100
77760.0,3,1405,4150,1070
35988.0,3,1405,3675,980
61199.988,0,796,3495,725
36000.0,5,993,3495,875
60000.0,7,2446,4425,1470
36000.0,5,1405,3675,980
90773.28,0,1405,3675,980
37200.0,4,796,3495,740
66715.92,1,1086,3565,854
40800.0,5,1527,3495,875
29959.2,7,1061,3495,740
50400.0,3,1405,3675,980
33600.0,4,796,3370,750
58094.16,1,796,3495,740
64790.4,7,1343,4420,1100
40799.952000000005,3,796,3495,740
72000.0,4,1800,4425,1470
69599.88,2,1086,3565,854
37200.0,6,999,3565,854
39360.0,6,1086,3565,854
67073.832,2,1086,3565,854
79956.48,1,1405,3675,980
59898.0,3,1086,3565,868
73831.872,0,995,3495,840
54650.64,3,993,3495,875
83813.52,1,1405,3675,980
36000.0,6,1061,3520,830
88800.0,1,1298,3695,1000
27600.0,8,1298,4090,930
34800.0,6,1061,3495,740
93216.09599999999,3,1399,4282,1150
71990.4,1,1405,3675,980
46272.0,2,796,3495,740
79245.696,5,1497,4420,1155
56736.0,2,1061,3520,830
100200.0,4,1497,4420,1100
72000.0,6,2446,4425,1470
74991.12,0,1193,3675,980
49323.6,4,993,3495,875
37200.0,3,796,3495,740
26352.0,9,999,3565,854
50400.0,4,993,3495,875
62640.0,3,1086,3565,854
103509.84,3,1495,4250,1023
42000.0,6,1086,3565,854
83506.08,1,1405,3675,980
48000.0,4,1405,4150,1070
81148.32,1,1061,3520,825
33480.0,6,1298,4095,875
31200.0,8,1298,4095,875
69120.0,5,1298,4095,875
81966.0,1,1086,3565,854
80401.92,0,1405,3675,980
40800.0,5,1405,3675,980
60000.0,3,1405,3675,980
77406.0,0,1086,3565,854
73920.0,4,2446,4425,1470
60000.0,1,1086,3565,854
96000.0,6,2446,4425,1470
48000.0,4,1242,3827,990
31190.4,6,993,3495,875
45600.0,4,1061,3520,825
43200.0,1,796,3370,750
81966.0,0,1086,3565,854
43200.0,4,1061,3520,825
60000.0,1,1343,4420,1100
90000.0,2,1298,3675,975
86412.0,0,1061,3520,825
60000.0,2,1086,3565,854
24000.0,8,993,3495,875
62400.0,3,1086,3565,854
48000.0,4,1405,3675,980
72635.652,0,995,3495,840
76552.8,1,1405,3675,980
48000.0,6,999,3565,854
81641.52,0,1086,3565,854
91200.0,0,2523,4210,1575
72965.47200000001,0,995,3495,840
26400.0,7,1061,3520,825
53244.0,4,1405,3675,980
104280.0,3,1569,4282,1130
59992.704000000005,3,993,3495,875
54005.76,3,1405,3675,980
57832.68,1,1086,3565,854
73200.0,1,1405,3675,980
26400.0,6,1405,3675,980
58320.0,6,1493,4420,1100
43200.0,4,1405,3675,980
26049.6,9,998,3565,854
32400.0,8,1495,4250,1023
36000.0,5,1061,3520,825
51592.8,4,1086,3565,854
90912.0,0,1405,3675,980
88452.0,6,1596,4018,1140
28080.0,9,993,3495,875
64800.0,2,1405,3675,980
31190.4,7,1405,3675,980
83150.016,1,1405,3675,980
108000.0,1,2523,4260,1615
54673.92,5,1242,3827,990
83581.836,0,1086,3565,854
59530.8,2,1405,3675,980
24480.0,8,1061,3520,825
80251.2,1,1086,3565,854
68705.28,1,1193,3675,980
90000.0,5,2609,4325,1880
48000.0,3,796,3495,740
74640.0,2,1086,3565,854
67608.0,2,1086,3565,854
62208.0,1,1193,3675,980
34800.0,4,796,3495,740
79979.76,1,1405,3675,980
74832.0,2,1298,3695,1000
56640.0,3,1405,3675,980
96000.07199999999,2,1948,4505,1820
